date,domain,source_ip,source_port,destination_ip,destination_port,status,prediction
2024-06-13 09:12:12,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
2024-06-13 09:12:13,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
2024-06-13 09:12:13,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
2024-06-13 09:12:13,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
2024-06-13 09:12:13,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
2024-06-13 09:12:13,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
2024-06-13 09:12:13,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
2024-06-13 09:12:13,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
2024-06-13 09:12:13,,72.25.64.32,443,10.21.250.9,23786,ALLOW,Normal
2024-06-13 09:12:13,,120.241.118.153,20054,10.21.250.9,51887,ALLOW,Normal
2024-06-13 09:12:13,,120.233.205.148,20038,10.21.250.9,51946,ALLOW,Normal
2024-06-13 09:12:13,,120.241.118.153,20054,10.21.250.9,51887,ALLOW,Normal
2024-06-13 09:12:13,,120.241.118.153,20054,10.21.250.9,51887,ALLOW,Normal
2024-06-13 09:12:13,,120.233.205.148,20038,10.21.250.9,51946,ALLOW,Normal
2024-06-13 09:12:13,,120.233.205.148,20038,10.21.250.9,51946,ALLOW,Normal
2024-06-13 09:12:13,,120.233.205.148,20038,10.21.250.9,51946,ALLOW,Normal
2024-06-13 09:12:14,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
2024-06-13 09:12:14,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
2024-06-13 09:12:14,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:14,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:14,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:14,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:14,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:14,,120.233.205.148,20038,10.21.250.9,51946,ALLOW,Normal
